id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
2352	lactococcus lactis	-0.181	-0.6232	1	138	215	17	2016
2353	lag time	-0.4001	0.2796	5	126	152	17	2014.6471
2354	laminarin	0.0131	-0.2916	4	141	181	16	2016.3125
2355	land	-0.6367	0.1884	2	755	1499	140	2014.3071
2356	land area	-0.753	0.0668	2	170	202	16	2014.5
2357	land plant	-0.4175	-0.4251	1	175	198	14	2016.4286
2358	land use	-0.6595	0.3115	2	258	398	37	2014.5676
2359	land use change	-0.6837	0.3768	2	174	285	29	2015.069
2360	landfill	-0.3886	0.5296	2	296	409	41	2017.3171
2361	landoltia punctata	-0.7948	-0.4887	1	89	168	11	2015.5455
2362	lanuginosus	0.4672	0.4026	6	251	402	23	2015.5217
2363	lanuginosus lipase	0.5909	0.4548	6	186	378	23	2014.4348
2364	large scale cultivation	-0.6647	-0.2089	1	143	168	13	2014.6154
2365	large specific surface area	1.1809	0.0971	3	154	196	11	2016.5455
2366	large surface area	1.4571	0.0898	3	341	628	29	2015.8966
2367	large variation	-0.4046	0.1066	2	125	129	11	2014.3636
2368	layer	1.1675	-0.0335	3	1225	3785	225	2014.5022
2369	lc ms ms	-0.1383	-0.5177	4	243	329	22	2014.1364
2370	lca	-0.5656	0.537	2	366	803	61	2015.2951
2371	lcc	-0.0968	0.269	2	147	194	14	2015.7143
2372	ldh	0.6383	-0.3969	3	388	664	40	2012.225
2373	ldha	-0.1661	-0.4576	1	134	179	13	2015.8462
2374	leachate	-0.5147	0.5214	5	241	354	30	2015.4667
2375	leaching	0.4476	0.195	3	380	494	33	2015.4545
2376	leaf tissue	-0.6947	-0.3723	1	251	342	21	2014.7619
2377	leakage	0.0404	-0.3613	1	359	519	29	2014.5517
2378	led	-0.219	-0.0898	1	158	221	16	2015.625
2379	leucine	-0.3168	-0.762	1	239	337	22	2015.0455
2380	lhw	-0.1935	0.6137	2	283	490	34	2015.6765
2381	lhw pretreatment	-0.1522	0.7269	2	134	207	13	2015.7692
2382	liberation	-0.0692	0.446	2	190	232	17	2015.1176
2383	library	-0.2099	-0.5191	1	1099	2228	160	2014.85
2384	lichenan	0.3233	-0.3823	4	124	185	11	2015.4545
2385	life cycle	-0.6253	0.1225	2	365	568	52	2015.1154
2386	life cycle analysis	-0.6	0.4426	2	203	312	30	2015.7333
2387	life cycle assessment	-0.5529	0.5469	2	462	1144	97	2016.3918
2388	life cycle greenhouse gas	-0.6087	0.4911	2	107	165	12	2015.0833
2389	life time	0.6742	-0.1471	4	138	158	10	2015.9
2390	lifetime	1.2279	0.0559	3	434	845	58	2013.7931
2391	ligand	0.9437	-0.2931	3	461	727	49	2014.7755
2392	light condition	-0.6476	-0.4596	1	201	265	22	2016.2273
2393	light dark cycle	-0.7427	-0.2238	1	203	307	26	2014.6923
2394	light energy	0.0082	-0.5036	1	206	290	21	2014.7619
2395	light intensity	-0.7079	-0.1981	1	588	1199	98	2015.4388
2396	lignification	-0.5164	-0.3339	1	362	681	44	2015.7273
2397	lignin biosynthesis	-0.6423	-0.4835	1	468	1255	75	2015.5333
2398	lignin biosynthetic pathway	-0.7145	-0.4375	1	148	251	16	2015
2399	lignin carbohydrate complex	-0.0308	0.2181	2	135	183	15	2014.3333
2400	lignin component	0.0465	0.0038	2	130	150	13	2014.7692
2401	lignin composition	-0.6073	-0.2202	2	362	732	51	2015.1373
2402	lignin concentration	-0.4887	0.0795	2	168	209	19	2013.8947
2403	lignin content	-0.4551	0.0454	2	1247	3919	281	2015.1957
2404	lignin degradation product	-0.1097	0.3323	2	97	124	14	2014.2143
2405	lignin degrading enzyme	0.0259	-0.186	4	138	163	14	2016.9286
2406	lignin deposition	-0.6411	-0.3278	2	160	242	16	2016.625
2407	lignin fraction	-0.0947	0.4218	2	294	405	31	2016
2408	lignin level	-0.6046	-0.2731	2	224	367	22	2015.6364
2409	lignin modification	-0.5293	-0.268	2	196	296	22	2015.0909
2410	lignin monomer	-0.3783	-0.0306	2	173	221	17	2016.3529
2411	lignin pathway	-0.652	-0.5139	1	124	174	10	2013.1
2412	lignin peroxidase	0.0245	0.1792	4	164	258	20	2015.9
2413	lignin polymer	-0.2967	-0.3075	1	195	279	22	2015.5455
2414	lignin reduction	-0.4907	0.0364	2	215	278	18	2015.3889
2415	lignin removal	-0.1177	0.4974	2	632	1388	102	2016.2549
2416	lignin structure	-0.2058	0.057	2	316	468	35	2015.8857
2417	ligninolytic enzyme	-0.0345	0.2991	2	181	272	25	2015.56
2418	lignocellulase	-0.0712	-0.2578	4	130	161	14	2017.7857
2419	lignocellulolytic enzyme	-0.0918	-0.1466	4	510	889	65	2016.4308
2420	lignocellulose bioconversion	0.1164	-0.3433	4	151	173	15	2014.8
2421	lignocellulose deconstruction	0.0001	-0.207	4	212	268	18	2016.4444
2422	lignocellulose degradation	-0.0396	-0.1459	4	409	620	53	2015.8491
2423	lignocellulose degrading bacterium	-0.178	-0.1563	4	92	110	10	2017.2
2424	lignocellulose degrading enzyme	0.0041	-0.2825	4	231	350	24	2016.6667
2425	lignocellulose fractionation	-0.0999	0.5719	2	130	196	14	2013.9286
2426	lignocellulose hydrolysate	-0.2769	-0.1953	1	245	327	27	2014.7407
2427	lignocellulose hydrolysis	0.1448	-0.1754	4	218	276	20	2015.1
2428	lignocellulose pretreatment	-0.157	0.3464	2	185	239	19	2017.4211
2429	lignocellulose recalcitrance	-0.3477	-0.0112	2	101	179	13	2019.1538
2430	lignocellulose saccharification	-0.0655	-0.1061	4	181	220	15	2016.4667
2431	lignocellulose structure	-0.0328	0.65	2	135	174	15	2014.8667
2432	lignocellulosic bioethanol	-0.237	0.2762	2	170	199	16	2016.5625
2433	lignocellulosic bioethanol production	-0.3718	0.1307	2	232	292	23	2016.7391
2434	lignocellulosic biomass conversion	0.008	-0.2338	4	145	156	12	2017.1667
2435	lignocellulosic biomass hydrolysate	-0.3751	-0.1456	1	101	118	10	2013.8
2436	lignocellulosic component	-0.1561	0.4716	2	134	153	15	2017.6
2437	lignocellulosic hydrolysate	-0.3055	-0.1302	1	554	1002	89	2015.2921
2438	lignocellulosic raw material	-0.2925	0.3635	2	173	224	19	2014.3684
2439	lignocellulosic structure	-0.1918	0.4991	2	222	288	24	2017.4167
2440	lignocellulosic sugar	-0.2608	-0.1293	1	228	277	21	2016.619
2441	lignosulfonate	0.0531	0.5292	2	106	131	13	2014.9231
2442	lime	-0.283	0.5367	2	304	490	40	2013.15
2443	lime pretreatment	-0.1851	0.6221	2	147	230	20	2013
2444	linear poly	2.1704	-0.1468	3	164	355	17	2015.1176
2445	linear range	1.8876	-0.1687	3	326	720	35	2014.5143
2446	linear sweep voltammetry	2.1727	-0.0347	3	258	770	30	2017.4
2447	linker	1.0395	-0.1709	3	427	704	43	2015.9302
2448	linoleic acid	-0.5637	0.0172	1	626	1437	88	2015.9091
2449	linolenic acid	-0.7178	-0.1362	1	440	805	50	2015.18
2450	lip	0.1151	0.2543	4	207	287	20	2016.55
2451	lipase	0.4272	0.3796	6	1423	7541	488	2014.8135
2452	lipase activity	0.3743	0.3074	6	500	1243	78	2013.7692
2453	lipase enzyme	0.4208	0.5519	6	159	246	14	2014.4286
2454	lipase production	0.1967	0.251	6	179	321	24	2014.3333
2455	lipid	-0.6375	-0.1246	1	2185	10502	780	2016.0628
2456	lipid accumulation	-0.8042	-0.3089	1	1256	4591	314	2015.9108
2457	lipid biosynthesis	-0.7728	-0.601	1	580	1240	73	2015.7945
2458	lipid body	-0.7806	-0.4424	1	222	312	20	2014.8
2459	lipid coefficient	-0.5517	0.0395	1	74	118	10	2013.9
2460	lipid composition	-0.8644	-0.2407	1	249	353	21	2016.4286
2461	lipid concentration	-0.7906	-0.0507	1	281	478	36	2015.3611
2462	lipid content	-0.7628	-0.1223	1	1376	5153	381	2015.4961
2463	lipid droplet	-0.7018	-0.674	1	324	618	38	2015.9211
2464	lipid extraction	-0.4907	0.3118	6	567	1279	96	2016.2396
2465	lipid fraction	-0.8644	-0.0816	1	231	321	20	2015.05
2466	lipid metabolism	-0.721	-0.7376	1	544	1146	61	2016.8361
2467	lipid peroxidation	-0.5434	-0.2915	1	127	185	13	2016.2308
2468	lipid production	-0.7555	-0.1585	1	1303	5091	372	2016.1398
2469	lipid productivity	-0.8355	-0.2104	1	967	3336	229	2016
2470	lipid profile	-0.8	-0.1613	1	387	675	39	2015.641
2471	lipid recovery	-0.4338	0.3906	6	212	319	25	2015.96
2472	lipid synthesis	-0.8039	-0.4785	1	458	790	52	2016.2885
2473	lipid yield	-0.7044	-0.0632	1	817	2077	147	2016.2041
2474	lipids production	-0.8263	-0.2928	1	168	227	17	2015.5882
2475	lipogenesis	-0.685	-0.7269	1	172	234	13	2017.8462
2476	lipolytic activity	0.2448	0.0142	4	174	262	17	2016
2477	lipolytica	-0.3641	-0.5787	1	397	796	56	2016.8929
2478	lipomyces	-0.644	-0.1096	1	126	178	12	2017.25
2479	lipomyces starkeyi	-0.5637	-0.1464	1	162	250	16	2016.1875
2480	lipozyme rm im	0.3721	0.7401	6	116	188	12	2016
2481	lipozyme tl im	0.4724	0.8043	6	131	240	15	2013.5333
2482	liquid fraction	-0.3422	0.7222	2	453	821	64	2014.9844
2483	liquid hot water	-0.2074	0.57	2	437	820	58	2015.2241
2484	liquid hot water pretreatment	-0.0772	0.579	2	139	196	15	2014.8
2485	liquid product	0.0194	0.5594	2	140	190	17	2015.8824
2486	liquid ratio	-0.2224	0.6642	2	348	586	43	2014.9767
2487	liquor	-0.1832	0.5247	2	692	1316	109	2015.3486
2488	list	-0.4129	-0.4084	1	294	383	31	2014.3226
2489	liver	-0.4389	-0.2392	1	81	105	12	2015.25
2490	lnh st	-0.3048	0.3925	2	138	211	13	2012.1538
2491	loading rate	-0.4083	0.596	5	359	589	46	2014.1522
2492	loblolly pine	-0.4527	0.3724	2	139	175	15	2013.7333
2493	localization	-0.2433	-0.691	1	532	851	48	2014.3125
2494	loci	-0.4347	-0.5315	1	379	560	37	2015.1351
2495	logistic	-0.4859	0.4226	2	141	182	22	2015.7727
2496	long chain	-0.4575	-0.4731	1	381	585	37	2016.7838
2497	long chain hydrocarbon	-0.3215	-0.5014	1	122	141	10	2017.3
2498	long term operation	-0.1112	0.5219	5	181	234	17	2017.2941
2499	long term stability	1.2421	-0.0887	3	526	967	51	2014.549
2500	long term sustainability	-0.6792	0.2377	2	101	117	12	2012.25
2501	loop	0.1958	-0.412	4	447	690	51	2015.5882
2502	low activity	0.3373	-0.444	4	303	410	28	2015.5357
2503	low c n ratio	-0.7046	0.3152	5	116	148	10	2014.6
2504	low cost carbon source	-0.3867	0.1405	1	124	152	12	2017.75
2505	low cost feedstock	-0.0438	0.4422	6	320	505	40	2013.925
2506	low detection limit	1.883	-0.186	3	324	818	34	2014.1471
2507	low enzyme loading	-0.1625	0.5755	2	173	241	15	2016.2
2508	low input	-0.4813	-0.0486	2	130	145	11	2014.0909
2509	low lignin content	-0.4808	0.1543	2	232	304	24	2015.625
2510	low price	-0.2904	-0.1099	1	114	133	12	2015
2511	low solubility	0.5017	0.0672	3	102	112	10	2016
2512	low tolerance	-0.2886	-0.7526	1	143	196	13	2014.4615
2513	lower ethanol yield	-0.3102	0.4518	2	92	108	10	2014.8
2514	lower lignin content	-0.4267	0.0529	2	143	174	14	2016.2143
2515	lox	1.4589	-0.2629	3	167	262	14	2017.0714
2516	lpmo	0.3193	-0.2735	4	303	613	53	2017.2642
2517	lsv	2.2001	-0.0471	3	223	633	23	2017.3913
2518	lubricant	-0.1368	-0.4004	1	225	354	27	2016.0741
2519	lytic polysaccharide monooxygenase	0.3343	-0.2706	4	328	626	53	2017.283
2520	m glucose	1.0623	-0.324	4	154	197	11	2015.5455
2521	m nacl	0.2694	-0.2312	3	287	377	24	2014.125
2522	m sacchariflorus	-0.6989	-0.0193	2	103	172	16	2015.875
2523	m sinensis	-0.788	-0.1556	2	115	176	14	2014.4286
2524	m v	-0.1376	0.3542	2	106	112	10	2017.5
2525	m2 g	0.7022	0.5471	6	182	244	13	2017.0769
2526	ma cm	2.0185	-0.1429	3	424	1325	67	2013.1194
2527	ma cm2	1.9645	-0.077	3	470	1397	64	2016.7188
2528	ma m	1.9842	-0.0942	3	137	203	10	2011.5
2529	macropore	1.1921	0.1517	3	159	207	12	2015.25
2530	magnetic nanoparticle	1.0705	0.281	3	372	689	42	2017.2143
2531	main carbon source	-0.4188	-0.1976	1	214	257	18	2016.1111
2532	main conclusion	-0.605	-0.4762	1	151	179	13	2016.6154
2533	main inhibitor	-0.2348	0.0779	2	152	169	12	2016.5
2534	maize	-0.6132	-0.1853	1	829	1714	129	2014.1085
2535	maize silage	-0.642	0.3184	5	204	333	23	2015.0435
2536	major end product	-0.1983	-0.343	1	147	172	14	2015.5714
2537	major fatty acid	-0.6927	0.0202	1	216	323	20	2015.85
2538	major sugar	-0.3753	-0.1911	1	104	129	11	2012.6364
2539	malate dehydrogenase	0.0213	-0.6691	1	167	208	13	2015.3846
2540	malic enzyme	-0.6842	-0.6607	1	235	367	19	2016.6842
2541	malondialdehyde	-0.5921	-0.339	1	147	250	16	2016.3125
2542	malonyl coa	-0.3806	-0.8062	1	140	195	13	2014.5385
2543	management practice	-0.6954	0.1907	2	243	335	30	2015.2
2544	manganese peroxidase	0.0131	0.1527	4	252	367	32	2015.5938
2545	mannan	0.1819	-0.2895	4	351	636	42	2015.3095
2546	mannanase	0.1432	-0.3296	4	316	576	39	2014.7692
2547	mannitol	-0.3473	-0.1575	1	258	351	32	2015.1875
2548	mannosidase	0.1938	-0.4176	4	189	306	17	2014
2549	manure	-0.6069	0.5324	5	485	951	83	2015.3494
2550	map	-0.4359	-0.4002	1	520	808	56	2015.0893
2551	mapping	-0.3573	-0.3467	1	637	1028	63	2015.6984
2552	marginal land	-0.6332	-0.0694	2	538	840	57	2015.5088
2553	marine microalgae	-0.6265	-0.1792	1	228	324	27	2014.1111
2554	marker	-0.5654	-0.3937	1	829	1734	124	2015.1371
2555	market price	-0.4353	0.5741	2	198	281	26	2015.8462
2556	mas	0.0484	0.5253	2	98	134	10	2012.7
2557	mash	-0.3224	0.2492	2	183	268	31	2011.9032
2558	mass culture	-0.648	-0.2995	1	117	139	13	2014.7692
2559	mass loss	-0.1254	0.5263	2	184	224	23	2017.1304
2560	mass ratio	0.0757	0.5111	6	362	506	35	2015.5429
2561	mass transfer limitation	0.3726	0.5246	6	257	332	24	2015.2083
2562	mass transport	1.514	-0.1113	3	320	551	34	2013.1471
2563	matrix	0.8586	0.057	3	1532	4325	285	2014.4596
2564	maturation	-0.457	-0.59	1	271	385	24	2014.9583
2565	maturity	-0.6909	-0.0065	2	257	361	28	2014.0357
2566	maximal activity	0.314	-0.2921	4	245	344	23	2014.9565
2567	maximal power density	2.0966	-0.1303	3	152	242	11	2014.0909
2568	maximum activity	0.3124	-0.1578	4	451	812	55	2015.2545
2569	maximum biodiesel yield	0.3845	0.7375	6	216	472	26	2016.6923
2570	maximum biomass	-0.7861	0.0847	1	265	392	29	2017.069
2571	maximum biomass concentration	-0.7946	0.0002	1	139	176	13	2015
2572	maximum biomass productivity	-0.8422	-0.1047	1	174	254	19	2015.8947
2573	maximum conversion	0.2716	0.5694	6	231	355	21	2014.619
2574	maximum current density	1.9999	-0.0979	3	473	1531	66	2015.5758
2575	maximum delignification	-0.1132	0.5289	2	121	181	11	2016.4545
2576	maximum ethanol	-0.2833	0.31	2	77	93	10	2014.6
2577	maximum ethanol concentration	-0.271	0.3415	2	349	559	54	2014.2778
2578	maximum ethanol production	-0.1717	0.4024	2	231	339	35	2015.5143
2579	maximum ethanol yield	-0.2336	0.4901	2	296	445	36	2016.0833
2580	maximum glucose yield	-0.0604	0.8178	2	141	191	17	2014
2581	maximum hydrogen yield	-0.3679	0.3585	5	85	110	11	2014
2582	maximum lipid content	-0.8181	-0.1789	1	154	218	19	2015
2583	maximum methane production	-0.4672	0.7878	5	147	192	12	2019
2584	maximum methane yield	-0.5004	0.6997	5	116	155	13	2016.2308
2585	maximum power	1.7749	-0.0324	3	238	490	28	2014.0357
2586	maximum power density	1.8898	-0.0408	3	863	5668	271	2014.8155
2587	maximum power output	1.8287	-0.1849	3	271	600	33	2013.4242
2588	maximum sugar yield	-0.3	0.4694	2	159	192	15	2016.1333
2589	may	-0.8428	0.1201	2	90	112	11	2013
2590	mbp	-0.3481	-0.4569	1	165	211	12	2015.5
2591	mcfas	-0.3733	-0.8867	1	117	202	15	2017.1333
2592	mco	1.3635	-0.0463	3	124	172	10	2016.9
2593	mda	-0.6097	-0.3778	1	153	296	18	2016.3333
2594	mdh	0.039	-0.5298	1	154	185	12	2014.3333
2595	measurement	0.6394	-0.0424	3	1913	5146	362	2014.9503
2596	mec	0.1697	0.4877	5	164	242	17	2016.5882
2597	mechanical pretreatment	-0.3503	0.7792	5	111	145	14	2015.8571
2598	mechanical property	0.6741	0.0489	3	234	304	27	2017.4074
2599	mechanical refining	-0.2527	0.7475	2	112	153	12	2015.0833
2600	mechanical strength	0.2056	-0.1822	3	285	352	20	2014.65
2601	mediated electron transfer	2.002	-0.1943	3	318	740	34	2014.4118
2602	mediator	1.6815	-0.1	3	1007	5367	292	2013.4897
2603	medicago sativa l	-0.6861	-0.1677	2	149	180	12	2013.5833
2604	medical application	0.8314	-0.2517	3	125	162	14	2014.2857
2605	medium chain fatty acid	-0.328	-0.6242	1	255	437	34	2016.5882
2606	medium chain length	-0.2709	-0.7457	1	107	150	11	2014.6364
2607	medium component	-0.2414	0.0797	1	195	245	23	2015.6087
2608	medium composition	-0.43	0.0918	1	170	187	15	2015.0667
2609	membrane	0.5448	-0.2327	3	1780	5378	378	2014.5608
2610	membrane bioreactor	-0.4805	0.4851	5	232	353	31	2016.6452
2611	membrane lipid	-0.7631	-0.8221	1	172	275	17	2015.8235
2612	membraneless enzymatic biofuel cell	2.2105	-0.077	3	164	295	13	2017.1538
2613	membraneless glucose	2.1095	-0.1323	3	142	215	10	2014
2614	mep	-0.2238	-0.65	1	132	190	13	2016
2615	mercaptoethanol	0.5419	-0.3159	4	166	241	12	2016.75
2616	mesophilic	-0.571	0.4567	5	463	989	76	2015.6184
2617	mesophilic condition	-0.5786	0.6537	5	328	674	50	2015.88
2618	mesophilic temperature	-0.4224	0.6587	5	156	212	14	2016.0714
2619	mesoporous carbon	1.7733	-0.0004	3	154	228	13	2014.6154
2620	mesp	-0.4127	0.6803	2	195	336	25	2014.88
2621	met	1.4585	-0.2707	3	243	435	21	2014.1905
2622	metabolic burden	-0.2397	-0.5844	1	143	170	11	2018.0909
2623	metabolic capability	-0.394	-0.3224	1	191	227	21	2014.8095
2624	metabolic change	-0.5902	-0.7014	1	204	250	17	2016.0588
2625	metabolic engineering	-0.3467	-0.6231	1	1347	4704	367	2015.5886
2626	metabolic engineering approach	-0.4085	-0.5892	1	277	380	24	2015.0833
2627	metabolic engineering effort	-0.4535	-0.6997	1	280	420	29	2015.1034
2628	metabolic engineering strategy	-0.3446	-0.6395	1	443	799	60	2015.7833
2629	metabolic flux	-0.3923	-0.6277	1	563	973	72	2016.0694
2630	metabolic flux analysis	-0.3829	-0.6569	1	212	315	23	2016.3043
2631	metabolic intermediate	-0.4051	-0.516	1	148	167	12	2014.5833
2632	metabolic mechanism	-0.7423	-0.6359	1	191	252	15	2016.8667
2633	metabolic model	-0.4905	-0.6691	1	279	465	36	2016.3333
2634	metabolic network	-0.4813	-0.6403	1	531	922	68	2014.8088
2635	metabolic potential	-0.3915	-0.3862	1	213	261	19	2015.8421
2636	metabolic process	-0.4434	-0.509	1	443	593	40	2016.075
2637	metabolic reaction	-0.3354	-0.5565	1	121	155	12	2014.3333
2638	metabolic reconstruction	-0.4506	-0.5939	1	247	344	21	2014.9048
2639	metabolic regulation	-0.5382	-0.6047	1	172	212	14	2017.4286
2640	metabolic response	-0.4977	-0.6767	1	244	333	21	2016.0952
2641	metabolism	-0.4094	-0.5191	1	2208	8614	621	2015.6151
2642	metabolite profiling	-0.5776	-0.5257	1	188	223	15	2016.3333
2643	metabolome	-0.6154	-0.5363	1	221	279	18	2015.5556
2644	metabolomic	-0.4815	-0.5999	1	353	523	37	2016.1351
2645	metabolomic analysis	-0.5831	-0.5835	1	217	287	16	2017.6875
2646	metabolomics analysis	-0.5061	-0.603	1	137	152	12	2017.6667
2647	metagenome	-0.1205	-0.2497	4	497	1018	64	2016.25
2648	metagenomic	-0.1297	-0.2329	4	252	375	27	2015.8519
2649	metagenomic analysis	-0.4105	-0.0331	5	217	301	20	2016.75
2650	metagenomic library	0.2458	-0.352	4	228	369	24	2015.0833
2651	metal ion	0.3843	-0.1852	4	623	1068	78	2015.8974
2652	metal organic framework	1.4387	0.0812	3	260	444	23	2019.3913
2653	methane	-0.4637	0.5155	5	1326	4154	349	2015.9885
2654	methane content	-0.5962	0.6915	5	335	738	54	2016.9259
2655	methane fermentation	-0.5327	0.65	5	167	219	17	2015.7059
2656	methane formation	-0.487	0.3205	5	112	152	12	2014.5833
2657	methane generation	-0.6889	0.6435	5	145	240	18	2016.1667
2658	methane potential	-0.5974	0.7594	5	249	432	35	2014.7714
2659	methane production	-0.5253	0.6665	5	1097	3955	313	2016.246
2660	methane production rate	-0.5616	0.7477	5	313	649	52	2015.7692
2661	methane production yield	-0.4737	0.8051	5	119	158	12	2015.5
2662	methane productivity	-0.5956	0.6223	5	155	207	15	2015.4
2663	methane yield	-0.5779	0.7277	5	871	3115	238	2016.2647
2664	methanobacterium	-0.6108	0.5275	5	135	206	14	2017.2857
2665	methanoculleus	-0.6694	0.4444	5	221	438	26	2015.9231
2666	methanogen	-0.613	0.4898	5	479	1358	103	2016.7864
2667	methanogenesis	-0.5636	0.5133	5	453	1034	79	2016.1899
2668	methanogenic activity	-0.6022	0.6229	5	207	372	26	2015.7308
2669	methanogenic archaea	-0.5049	0.2408	5	167	243	18	2015.5
2670	methanogenic community	-0.7268	0.486	5	194	381	26	2016.1154
2671	methanol	0.3611	0.5033	6	1683	8461	555	2014.2919
2672	methanol concentration	0.3679	0.5606	6	167	246	16	2014.5625
2673	methanol oil molar ratio	0.4648	0.7689	6	221	451	24	2016.125
2674	methanol oil ratio	0.2412	0.77	6	162	251	12	2016.0833
2675	methanol production	-0.0918	0.4136	5	84	146	12	2018.0833
2676	methanol ratio	0.4644	0.6595	6	144	242	15	2016.2667
2677	methanol tolerance	0.6598	0.4079	6	115	181	10	2015.4
2678	methanolysis	0.4439	0.5992	6	453	1284	81	2012.0864
2679	methanolysis reaction	0.4574	0.7368	6	138	228	12	2010
2680	methanomicrobiale	-0.6409	0.3012	5	117	183	12	2016.0833
2681	methanosaeta	-0.6578	0.563	5	255	539	32	2017.375
2682	methanosarcina	-0.6641	0.5755	5	263	590	37	2017.4865
2683	methanothermobacter	-0.7037	0.4223	5	116	150	11	2018.6364
2684	methanotroph	-0.0597	0.0937	5	102	169	16	2018.25
2685	methodology principal findings	-0.4111	-0.5774	1	153	172	11	2012.3636
2686	methyl acetate	0.3187	0.733	6	115	194	14	2015.1429
2687	methyl ester	0.1417	0.5321	6	750	2428	161	2014.3106
2688	methyl ester content	0.15	0.4815	6	201	345	22	2013.0909
2689	methyl ester yield	0.1172	0.4813	6	225	367	21	2013.2381
2690	methyl oleate	0.1458	0.4625	6	140	218	15	2013.7333
2691	methyl palmitate	-0.2132	0.2722	6	144	211	14	2014.9286
2692	methylation	-0.1336	-0.5649	1	331	474	33	2016.3939
2693	methylene	1.4296	-0.2366	3	283	519	32	2013.2188
2694	methylene green	1.9589	-0.3408	3	121	201	10	2011.9
2695	methylimidazolium acetate	0.0024	0.3867	2	451	796	65	2015.1385
2696	methylimidazolium chloride	0.1568	0.4016	2	274	403	34	2015.5294
2697	metric ton	-0.5225	0.5151	2	216	282	21	2014.0952
2698	mevalonate pathway	-0.2059	-0.6834	1	183	287	23	2016.913
2699	mfc	0.7444	0.2003	3	361	997	78	2013.0897
2700	mfcs	0.6978	0.0747	3	141	235	17	2013.4706
2701	mg kg	-0.6145	0.0356	2	192	263	27	2015.8519
2702	mg koh g	0.1142	0.7932	6	153	279	15	2015.6
2703	mg l day	-0.9071	-0.3157	1	193	308	18	2016.5
2704	mg l1	-0.6591	-0.1866	1	384	538	50	2018.44
2705	mg l1 day1	-0.8603	-0.0439	1	177	276	16	2018.25
2706	mg ml	0.2142	0.0189	4	750	1391	100	2015.91
2707	mg ml1	0.1832	-0.0819	4	129	146	10	2018.8
2708	mg2	0.2004	-0.2637	4	394	676	42	2016.7857
2709	mgl	-0.5882	0.1397	1	140	165	16	2015.625
2710	mgo	1.0735	0.3989	3	179	264	14	2019.1429
2711	mgso4	-0.3503	0.1281	1	160	177	14	2016.1429
2712	michaelis	1.0055	-0.0004	3	158	188	12	2014.6667
2713	michaelis menten	1.1067	-0.0498	3	212	288	16	2015.4375
2714	micro	0.6771	0.3147	3	143	161	13	2015.3077
2715	micro algae	-0.0314	0.1172	6	134	151	12	2016.25
2716	microaerobic condition	-0.3454	-0.128	1	115	137	14	2014.7857
2717	microalga	-0.7645	-0.2557	1	870	1943	137	2016.5474
2718	microalga chlorella vulgaris	-0.7005	-0.0253	1	171	223	17	2016.4118
2719	microalgae	-0.6971	-0.1369	1	2169	11957	958	2016.142
2720	microalgae biomass	-0.5196	0.3525	5	399	666	60	2016.95
2721	microalgae cell	-0.7302	-0.034	1	184	236	19	2016.4737
2722	microalgae cultivation	-0.8534	0.0323	1	367	687	54	2016.8333
2723	microalgae culture	-0.7347	0.0447	1	148	185	16	2016.375
2724	microalgae growth	-0.81	-0.0064	1	140	200	19	2017.1579
2725	microalgae lipid	-0.7292	0.1012	6	125	173	11	2015.0909
2726	microalgae oil	-0.0362	0.128	6	195	265	14	2015.0714
2727	microalgae production	-0.7745	0.1317	1	102	137	15	2015.3333
2728	microalgae species	-0.836	-0.1818	1	370	620	48	2016.3333
2729	microalgae strain	-0.8921	-0.0745	1	232	353	29	2015.8966
2730	microalgal biodiesel	-0.8287	0.1	1	127	168	12	2014
2731	microalgal biodiesel production	-0.8665	0.0683	1	117	160	13	2014.8462
2732	microalgal biofuel	-0.8004	-0.2823	1	256	359	24	2016.375
2733	microalgal biofuel production	-0.7306	-0.3064	1	144	178	14	2015.8571
2734	microalgal biomass	-0.6048	0.1974	1	674	1363	115	2016.8609
2735	microalgal cell	-0.7509	-0.1812	1	301	471	36	2016.1111
2736	microalgal cultivation	-0.8156	-0.0561	1	173	264	24	2016.375
2737	microalgal culture	-0.7018	0.0569	1	146	195	18	2015.0556
2738	microalgal growth	-0.8546	-0.0943	1	265	468	35	2016.4
2739	microalgal lipid	-0.8567	-0.1374	1	241	381	27	2013.3333
2740	microalgal lipid production	-0.7903	-0.112	1	159	211	16	2016.8125
2741	microalgal oil	-0.627	-0.043	1	222	333	21	2014.2381
2742	microalgal species	-0.6987	-0.2488	1	414	721	46	2015.913
2743	microalgal strain	-0.8305	-0.2709	1	396	743	49	2015.8571
2744	microarray	-0.4638	-0.4837	1	375	529	32	2012.4688
2745	microarray analysis	-0.4435	-0.5009	1	223	288	20	2012.95
2746	microbial analysis	-0.4322	0.452	5	116	133	11	2019.0909
2747	microbial biofuel cell	1.2985	-0.2725	3	93	132	12	2014
2748	microbial biomass	-0.5699	0.1535	2	358	497	42	2015.8095
2749	microbial cell factory	-0.2634	-0.6851	1	351	522	40	2016.275
2750	microbial community	-0.4734	0.2229	5	1060	3219	253	2016.0672
2751	microbial community analysis	-0.5037	0.5192	5	243	378	25	2017.36
2752	microbial community composition	-0.6352	0.329	5	203	283	20	2016.05
2753	microbial community structure	-0.5997	0.3212	5	416	740	54	2016.963
2754	microbial composition	-0.5008	0.2321	5	135	158	13	2014.8462
